Autor;Título;Archivo;Volumen;Seccion;URL;Ano
Luis Pestana;Palabra e imagen: <em>flame-shaped</em> y <em>dot-blot-hemorrhages</em>;"n1_PalabraImagen_Flame-1.pdf";1;Entremeses;https://www.tremedica.org/wp-content/uploads/n1_PalabraImagen_Flame-1.pdf;2000
Luis Pestana;Palabra e imagen: <em>matelas coquille</em>;n1_PalabraImagen_Matela.pdf;1;Entremeses;https://www.tremedica.org/wp-content/uploads/n1_PalabraImagen_Matela.pdf;2000
Mercè Piqueras;European Association of Science Editors;n1_EASE.pdf;1;Congresos y actividades;https://www.tremedica.org/wp-content/uploads/n1_EASE.pdf;2000
Verónica Saladrigas | Gustavo A. Silva;Fichas de MedTrad: <em>i.v. bolus</em> y <em>peer-reviewed journal</em>;n1_Fichas.pdf;1;Traducción y terminología;https://www.tremedica.org/wp-content/uploads/n1_Fichas.pdf;2000
Bertha M. Gutiérrez Rodilla;Evolución del lenguaje científico a través de los diccionarios: el caso de la medicina;n2_VocabularioGRodilla.pdf;2;Tribuna;https://www.tremedica.org/wp-content/uploads/n2_VocabularioGRodilla.pdf;2000
Ernesto Martín-Jacod;Glosario de psicoescalas;n2_PsicoescalasMartinJacod.pdf;2;Traducción y terminología;https://www.tremedica.org/wp-content/uploads/n2_PsicoescalasMartinJacod.pdf;2000
Ernesto Martín-Jacod;Tripletes prácticos;n2_TripletesMartinJacod.pdf;2;Revisión y estilo;https://www.tremedica.org/wp-content/uploads/n2_TripletesMartinJacod.pdf;2000
Fernando A. Navarro;Minidiccionario crítico de dudas;n2_MinidiccionarioNavarro.pdf;2;Traducción y terminología;https://www.tremedica.org/wp-content/uploads/n2_MinidiccionarioNavarro.pdf;2000
Fernando A. Navarro;El plumero;n2_PlumeroNavarro.pdf;2;Reseñas;https://www.tremedica.org/wp-content/uploads/n2_PlumeroNavarro.pdf;2000
Fernando A. Navarro;¿Quién lo usó por vez primera? <em>Enfermedad de Parkinson</em>;n2_Entr_Parkinson.pdf;2;Entremeses;https://www.tremedica.org/wp-content/uploads/n2_Entr_Parkinson.pdf;2000
Fernando A. Navarro;¿Quién lo usó por vez primera? <em>Serotonina</em>;n2_Entr_Serotonina.pdf;2;Entremeses;https://www.tremedica.org/wp-content/uploads/n2_Entr_Serotonina.pdf;2000
Fernando A. Navarro;¿Quién lo usó por vez primera? <em>Vitamina</em>;n2_Entr_Vitamina.pdf;2;Entremeses;https://www.tremedica.org/wp-content/uploads/n2_Entr_Vitamina.pdf;2000
Fernando Pardos;Noticias acamédicas;n2_AcamedicasPardos.pdf;2;Traducción y terminología;https://www.tremedica.org/wp-content/uploads/n2_AcamedicasPardos.pdf;2000
Fernando Pardos;El lenguaje científico en un diccionario de lengua general: el caso del DRAE;n2_LengCientificoPardos.pdf;2;Tribuna;https://www.tremedica.org/wp-content/uploads/n2_LengCientificoPardos.pdf;2000
Francisco Hernández | Ignacio Navascués;Terminología galénica. Material de acondicionamiento: generalidades;n2_TermGalenicaNavascues.pdf;2;Traducción y terminología;https://www.tremedica.org/wp-content/uploads/n2_TermGalenicaNavascues.pdf;2000
Ignacio Navascués Benlloch;Desde la cámara vítrea, con humor... (2);n2_CamaraVitreaNavascues.pdf;2;Tribuna;https://www.tremedica.org/wp-content/uploads/n2_CamaraVitreaNavascues.pdf;2000
Iñaki Ugarteburu;Ortografía y traducción;n2_OrtografiaUgarteburu.pdf;2;Tribuna;https://www.tremedica.org/wp-content/uploads/n2_OrtografiaUgarteburu.pdf;2000
Jorge Avendaño-Inestrillas;Sociedad, traducción y cultura;n2_SociedadAInestrillas.pdf;2;Tribuna;https://www.tremedica.org/wp-content/uploads/n2_SociedadAInestrillas.pdf;2000
José A. Tapia Granados;Lexicografía, lingüística, medicina y epidemiología en el <em>Diccionario crítico</em> de Fernando Navarro;n2_LexicografiaPPTapia.pdf;2;Tribuna;https://www.tremedica.org/wp-content/uploads/n2_LexicografiaPPTapia.pdf;2000
José Antonio Díaz Rojo;Nociones de neología. Las raíces griegas <em>-génesis</em>, <em>-genesia</em> y <em>-genia</em> en la terminología médica;n2_NeologiaDiazRojo.pdf;2;Tribuna;https://www.tremedica.org/wp-content/uploads/n2_NeologiaDiazRojo.pdf;2000
José Antonio Díaz Rojo;La gestión de la terminología;n2_GestionTermDiazRojo.pdf;2;Reseñas;https://www.tremedica.org/wp-content/uploads/n2_GestionTermDiazRojo.pdf;2000
Laura Munoa;Reseña de las Jornadas de la Asociación Española de Terminología sobre «Lenguaje científico y Lexicografía»;n2_CongresosMunoa.pdf;2;Congresos y actividades;https://www.tremedica.org/wp-content/uploads/n2_CongresosMunoa.pdf;2000
Luis Pestana;Palabra e imagen <em>skin tags>/em>;n2_Entr_SkinTag.pdf;2;Entremeses;https://www.tremedica.org/wp-content/uploads/n2_Entr_SkinTag.pdf;2000
Luis Pestana;Palabra e imagen: <em>chromosome puffs</em>;n2_Entr_ChromosomePuffs.pdf;2;Entremeses;https://www.tremedica.org/wp-content/uploads/n2_Entr_ChromosomePuffs.pdf;2000
Luis Pestana;Palabra e imagen: <em>appliqué/accolé red cell</em>;n2_Entr_Applique.pdf;2;Entremeses;https://www.tremedica.org/wp-content/uploads/n2_Entr_Applique.pdf;2000
Luis Pestana;Palabra e imagen: <em>spacer (device)</em>;n2_Entr_Spacer.pdf;2;Entremeses;https://www.tremedica.org/wp-content/uploads/n2_Entr_Spacer.pdf;2000
M. Teresa Cabré;El traductor y la terminología: necesidad y compromiso;n2_EditorialCabre.pdf;2;Editorial;https://www.tremedica.org/wp-content/uploads/n2_EditorialCabre.pdf;2000
Manuel Talens;La caja de los truenos;n2_CajaTruenos.pdf;2;Tribuna;https://www.tremedica.org/wp-content/uploads/n2_CajaTruenos.pdf;2000
Manuel Talens;El verbo y el principio;n2_VerboPrincipio.pdf;2;Revisión y estilo;https://www.tremedica.org/wp-content/uploads/n2_VerboPrincipio.pdf;2000
Miguel Turrión;Manual práctico de traducción médica;n2_ResenaTurrion.pdf;2;Reseñas;https://www.tremedica.org/wp-content/uploads/n2_ResenaTurrion.pdf;2000
Pollux Hernúñez;Documentación, terminología y traducción;n2_CongresosHernunez.pdf;2;Congresos y actividades;https://www.tremedica.org/wp-content/uploads/n2_CongresosHernunez.pdf;2000
Verónica Saladrigas;Fichas de MedTrad: <em>Stem cells</em>;n2_FichasSaladrigas.pdf;2;Traducción y terminología;https://www.tremedica.org/wp-content/uploads/n2_FichasSaladrigas.pdf;2000
Álvaro García Meseguer;¿Es sexista la lengua española?;n3_GarciaMeseguer.pdf;3;Tribuna;https://www.tremedica.org/wp-content/uploads/n3_GarciaMeseguer.pdf;2001
Anthony Pym;Anecdotario histórico. <em>Por qué el Cardenal Cisneros no mandó quemar todos los libros árabes hallados en Granada</em>;n3_Entr_Cisneros.pdf;3;Entremeses;https://www.tremedica.org/wp-content/uploads/n3_Entr_Cisneros.pdf;2001
Antonio Alonso;Perspectivas de la traducción en la Comisión Europea;n3_Editorial.pdf;3;Editorial;https://www.tremedica.org/wp-content/uploads/n3_Editorial.pdf;2001
Bertha M. Gutiérrez Rodilla;Anecdotario histórico. <em>Garrotillo y crup</em>;n3_Entr_Garrotillo.pdf;3;Entremeses;https://www.tremedica.org/wp-content/uploads/n3_Entr_Garrotillo.pdf;2001
Ernesto Martín-Jacod;Glosario de psicoescalas (2.ª parte);n3_Psicoescalas.pdf;3;Traducción y terminología;https://www.tremedica.org/wp-content/uploads/n3_Psicoescalas.pdf;2001
Ernesto Martín-Jacod;Tripletes prácticos;n3_tripletes.pdf;3;Revisión y estilo;https://www.tremedica.org/wp-content/uploads/n3_tripletes.pdf;2001
Fernando A. Navarro;Minidiccionario crítico de dudas;n3_Minidiccionario.pdf;3;Traducción y terminología;https://www.tremedica.org/wp-content/uploads/n3_Minidiccionario.pdf;2001
Fernando A. Navarro;El inglés, idioma internacional de la medicina*;n3_FANavarro.pdf;3;Tribuna;https://www.tremedica.org/wp-content/uploads/n3_FANavarro.pdf;2001
Fernando A. Navarro;El plumero;n3_Plumero.pdf;3;Reseñas;https://www.tremedica.org/wp-content/uploads/n3_Plumero.pdf;2001
Fernando A. Navarro;¿Quién lo usó por vez primera? <em>Síndrome SAPHO</em>;n3_Entr_SAPHO.pdf;3;Entremeses;https://www.tremedica.org/wp-content/uploads/n3_Entr_SAPHO.pdf;2001
Fernando A. Navarro;¿Quién lo usó por vez primera? <em>Angiotensina</em>;n3_Entr_Angiotensina.pdf;3;Entremeses;https://www.tremedica.org/wp-content/uploads/n3_Entr_Angiotensina.pdf;2001
Fernando A. Navarro;¿Quién lo usó por vez primera? <em>Calicreína</em>;n3_Entr_Calicreina.pdf;3;Entremeses;https://www.tremedica.org/wp-content/uploads/n3_Entr_Calicreina.pdf;2001
Holly Jacobson;La comunicación con pacientes hispano-hablantes en Estados Unidos*;n3_Jacobson.pdf;3;Tribuna;https://www.tremedica.org/wp-content/uploads/n3_Jacobson.pdf;2001
Ignacio Navascués Benlloch;Desde la cámara vítrea, con humor... (3);n3_CamaraVitrea.pdf;3;El lápiz de Esculapio;https://www.tremedica.org/wp-content/uploads/n3_CamaraVitrea.pdf;2001
Ignacio Navascués Benlloch;Biología molecular e ingeniería genética;n3_Resenas1.pdf;3;Reseñas;https://www.tremedica.org/wp-content/uploads/n3_Resenas1.pdf;2001
Iñaki Ugarteburu;Préstamos léxicos y adecuación gráfica;n3_Ugarteburu.pdf;3;Tribuna;https://www.tremedica.org/wp-content/uploads/n3_Ugarteburu.pdf;2001
Joaquín Segura;Los anglicismos en el lenguaje médico*;n3_Segura.pdf;3;Tribuna;https://www.tremedica.org/wp-content/uploads/n3_Segura.pdf;2001
Joaquín Segura;"Doble negación y ""suficientemente para""";n3_CartasSegura.pdf;3;Cartas a Panace@;https://www.tremedica.org/wp-content/uploads/n3_CartasSegura.pdf;2001
José Antonio Díaz Rojo;Nociones de neología. Los sufijos -oides, -oide, -oideo, -oidal y oídico en terminología médica;n3_DiazRojo.pdf;3;Tribuna;https://www.tremedica.org/wp-content/uploads/n3_DiazRojo.pdf;2001
Karen Shashok;Manual de estilo. Inglés científico-técnico;n3_Resenas2.pdf;3;Reseñas;https://www.tremedica.org/wp-content/uploads/n3_Resenas2.pdf;2001
Luis Pestana;<em>Insonar</em>: cuestión de ángulos;n3_Pestana.pdf;3;Cartas a Panace@;https://www.tremedica.org/wp-content/uploads/n3_Pestana.pdf;2001
Luis Pestana;Palabra e imagen: <em>tissue cage</em>;n3_Entr_TissueCage.pdf;3;Entremeses;https://www.tremedica.org/wp-content/uploads/n3_Entr_TissueCage.pdf;2001
Luis Pestana;Palabra e imagen: <em>onion bulbs</em>;n3_Entr_OnionBulbs.pdf;3;Entremeses;https://www.tremedica.org/wp-content/uploads/n3_Entr_OnionBulbs.pdf;2001
Luis Pestana;Palabra e imagen: <em>fortification spectra</em>;n3_Entr_Fortification.pdf;3;Entremeses;https://www.tremedica.org/wp-content/uploads/n3_Entr_Fortification.pdf;2001
Luis Pestana;Palabra e imagen: <em>tank farm</em>;n3_Entr_TankFarm.pdf;3;Entremeses;https://www.tremedica.org/wp-content/uploads/n3_Entr_TankFarm.pdf;2001
Luis Pestana | Verónica Saladrigas;Palabra e imagen: <em>(radioactive) source wire</em>;n3_Entr_SourceWire.pdf;3;Entremeses;https://www.tremedica.org/wp-content/uploads/n3_Entr_SourceWire.pdf;2001
Manuel Talens;En busca de Lacan;n3_EnBuscadeLacan.pdf;3;El lápiz de Esculapio;https://www.tremedica.org/wp-content/uploads/n3_EnBuscadeLacan.pdf;2001
Verónica Saladrigas | Luis Pestana;Palabra e imagen: <em>interbody fusion cage</em>;n3_Entr_InterbodyFusionCage.pdf;3;Entremeses;https://www.tremedica.org/wp-content/uploads/n3_Entr_InterbodyFusionCage.pdf;2001
Verónica Saladrigas|Gustavo Silva;Fichas de MedTrad: <em>i.v. infusion</em> y <em>perfusion</em>;n3_Fichas.pdf;3;Traducción y terminología;https://www.tremedica.org/wp-content/uploads/n3_Fichas.pdf;2001
Vladimir de Semir;Decir la ciencia: las prácticas divulgativas en el punto de mira;n3_Resenas3.pdf;3;Reseñas;https://www.tremedica.org/wp-content/uploads/n3_Resenas3.pdf;2001
Amparo Alcina Caudet;El español como lengua de la ciencia y de la medicina;n4_EspLenguaCiencia.pdf;4;Tribuna;https://www.tremedica.org/wp-content/uploads/n4_EspLenguaCiencia.pdf;2001
Bertha M. Gutiérrez Rodilla;Perlas de la traducción: El <em>entretenimiento</em> de las máquinas;n4_Entr_Entretenimiento.pdf;4;Entremeses;https://www.tremedica.org/wp-content/uploads/n4_Entr_Entretenimiento.pdf;2001
Bertha M. Gutiérrez Rodilla;En una palabra: La lepra no es políticamente correcta;n4_Entr_Lepra.pdf;4;Entremeses;https://www.tremedica.org/wp-content/uploads/n4_Entr_Lepra.pdf;2001
Christian Balliu;El peligro de la terminología en traducción médica;n4_PeligroTerminologia.pdf;4;Tribuna;https://www.tremedica.org/wp-content/uploads/n4_PeligroTerminologia.pdf;2001
Ernesto Martín-Jacod;Glosario de psicoescalas (3.ª parte);n4_Psicoescalas.pdf;4;Traducción y terminología;https://www.tremedica.org/wp-content/uploads/n4_Psicoescalas.pdf;2001
Ernesto Martín-Jacod;Tripletes prácticos;n4_Tripletes.pdf;4;Revisión y estilo;https://www.tremedica.org/wp-content/uploads/n4_Tripletes.pdf;2001
Fernando A. Navarro;Minidiccionario crítico de dudas;n4_Minidiccionario.pdf;4;Traducción y terminología;https://www.tremedica.org/wp-content/uploads/n4_Minidiccionario.pdf;2001
Fernando A. Navarro;Diccionario médico alemán-español;n4_Resenas1.pdf;4;Reseñas;https://www.tremedica.org/wp-content/uploads/n4_Resenas1.pdf;2001
Fernando A. Navarro;¿Quién lo usó por vez primera? <em>Bacitracina</em>;n4_Entr_Bacitracina.pdf;4;Entremeses;https://www.tremedica.org/wp-content/uploads/n4_Entr_Bacitracina.pdf;2001
Fernando A. Navarro;¿Quién lo usó por vez primera? <em>Nicotina</em>;n4_Entr_Nicotina.pdf;4;Entremeses;https://www.tremedica.org/wp-content/uploads/n4_Entr_Nicotina.pdf;2001
Fernando Pardos;Noticias acamédicas;n4_NoticiasAcamedicas.pdf;4;Traducción y terminología;https://www.tremedica.org/wp-content/uploads/n4_NoticiasAcamedicas.pdf;2001
Fernando Pardos;¿Cómo llamar a los animales? Nombres vulgares y nombres científicos;n4_NombresVulgCientificos.pdf;4;Tribuna;https://www.tremedica.org/wp-content/uploads/n4_NombresVulgCientificos.pdf;2001
Francisco Hernández|Ignacio Navascués;Notas galénicas. Los cierres de los envases farmacéuticos;n4_NotasGalenicas.pdf;4;Traducción y terminología;https://www.tremedica.org/wp-content/uploads/n4_NotasGalenicas.pdf;2001
Francisco Petrecca;La representación del léxico científico-técnico en los diccionarios;n4_Editorial.pdf;4;Editorial;https://www.tremedica.org/wp-content/uploads/n4_Editorial.pdf;2001
Iñaki Ugarteburu;De cómo tomé la decisión de utilizar el diccionario;n4_UtilizarDiccionario.pdf;4;El lápiz de Esculapio;https://www.tremedica.org/wp-content/uploads/n4_UtilizarDiccionario.pdf;2001
Jaime Locutura|Álex Grijelmo;Defensa apasionada del idioma español, también en medicina;n4_Defensa.pdf;4;Tribuna;https://www.tremedica.org/wp-content/uploads/n4_Defensa.pdf;2001
José A. Tapia Granados;El plumero;n4_Plumero.pdf;4;Reseñas;https://www.tremedica.org/wp-content/uploads/n4_Plumero.pdf;2001
José Antonio Díaz Rojo;La terminología médica: diversidad, norma y uso;n4_TerminologiaMedica.pdf;4;Tribuna;https://www.tremedica.org/wp-content/uploads/n4_TerminologiaMedica.pdf;2001
José Antonio Díaz Rojo;La norma lingüística como convención social;n4_NormaLinguistica.pdf;4;Reseñas;https://www.tremedica.org/wp-content/uploads/n4_NormaLinguistica.pdf;2001
José Antonio Díaz Rojo;Perlas de la traducción: Diccionarios de traducción y traducción de diccionarios;n4_Entr_DicTraduccion.pdf;4;Entremeses;https://www.tremedica.org/wp-content/uploads/n4_Entr_DicTraduccion.pdf;2001
José Antonio Díaz Rojo;En una palabra: <em>Anti-AIDS</em>;n4_Entr_AntiAIDS.pdf;4;Entremeses;https://www.tremedica.org/wp-content/uploads/n4_Entr_AntiAIDS.pdf;2001
Karen Shashok;Manual de estilo de la lengua española;n4_MELE.pdf;4;Reseñas;https://www.tremedica.org/wp-content/uploads/n4_MELE.pdf;2001
Luis Pestana;Palabra e imagen: <em>pilus/pili</em> y <em>fiambria/fimbriae</em>;n4_Entr_PilusPili.pdf;4;Entremeses;https://www.tremedica.org/wp-content/uploads/n4_Entr_PilusPili.pdf;2001
Luis Pestana;Palabra e imagen: <em>piggyback IV (IVPB)</em>;n4_Entr_Piggyback.pdf;4;Entremeses;https://www.tremedica.org/wp-content/uploads/n4_Entr_Piggyback.pdf;2001
Luis Pestana;Palabra e imagen: <em>signet-ring cell</em>;n4_Entr_Signet.pdf;4;Entremeses;https://www.tremedica.org/wp-content/uploads/n4_Entr_Signet.pdf;2001
Luis Pestana;Palabra e imagen: <em>protein (stalk) region</em>;n4_Entr_Stalk.pdf;4;Entremeses;https://www.tremedica.org/wp-content/uploads/n4_Entr_Stalk.pdf;2001
Luis Pestana;Vericuetos: <em>Sentinel node</em>;n4_Entr_Vericuetos.pdf;4;Entremeses;https://www.tremedica.org/wp-content/uploads/n4_Entr_Vericuetos.pdf;2001
Luis Requena|José G. Álvarez Fernández | José L. Rodríguez Peralto;El color del cristal. Dermatofibroma «aneurismático»;n4_Dermatofibroma.pdf;4;Traducción y terminología;https://www.tremedica.org/wp-content/uploads/n4_Dermatofibroma.pdf;2001
Manuel Talens;Polisemia;n4_Entr_Polisemia.pdf;4;Entremeses;https://www.tremedica.org/wp-content/uploads/n4_Entr_Polisemia.pdf;2001
Xosé Castro Roig;Carlota Fainberg;n4_CFainberg.pdf;4;El lápiz de Esculapio;https://www.tremedica.org/wp-content/uploads/n4_CFainberg.pdf;2001
Ariel F. Martínez;Fichas de MedTrad: <em>buffer</em>;n5_fichas.pdf;5;Traducción y terminología;https://www.tremedica.org/wp-content/uploads/n5_fichas.pdf;2001
Aurora Guerra Tapia;Diccionario dermatológico bilingüe;n5_diccionariodermato.pdf;5;Reseñas;https://www.tremedica.org/wp-content/uploads/n5_diccionariodermato.pdf;2001
Daniel Ibarra;Evento: de barbarismo al porvenir desvelado;n5_entr_evento.pdf;5;Entremeses;https://www.tremedica.org/wp-content/uploads/n5_entr_evento.pdf;2001
Ernesto Martín-Jacod;Tripletes prácticos;n5_tripletes.pdf;5;Revisión y estilo;https://www.tremedica.org/wp-content/uploads/n5_tripletes.pdf;2001
Fernando A. Navarro;Minidiccionario crítico de dudas;n5_minidiccionario.pdf;5;Traducción y terminología;https://www.tremedica.org/wp-content/uploads/n5_minidiccionario.pdf;2001
Fernando A. Navarro;Venéreo, venerable, veneno, venado y otros primos hermanos del vanadio;n5_vanadio.pdf;5;Tribuna;https://www.tremedica.org/wp-content/uploads/n5_vanadio.pdf;2001
Fernando A. Navarro;¿Quién lo usó por vez primera? <em>Crush Syndrome>/em>;n5_entr_crushsyndrome.pdf;5;Entremeses;https://www.tremedica.org/wp-content/uploads/n5_entr_crushsyndrome.pdf;2001
Fernando A. Navarro;¿Quién lo usó por vez primera? <em>Pinocitosis</em>;n5_entr_pinocitosis.pdf;5;Entremeses;https://www.tremedica.org/wp-content/uploads/n5_entr_pinocitosis.pdf;2001
Fernando A. Navarro;¿Quién lo usó por vez primera? <em>Bradicinina</em>;n5_entr_bradicinina.pdf;5;Entremeses;https://www.tremedica.org/wp-content/uploads/n5_entr_bradicinina.pdf;2001
Fernando Pardo|Manuel de Villena;Prefacio;n5_prefacio.pdf;5;Artículo especial;https://www.tremedica.org/wp-content/uploads/n5_prefacio.pdf;2001
Gustavo A. Silva;El plumero;n5_plumero.pdf;5;Reseñas;https://www.tremedica.org/wp-content/uploads/n5_plumero.pdf;2001
J. Antonio Aldrete;Publicando en español;n5_aldrete.pdf;5;Cartas a Panace@;https://www.tremedica.org/wp-content/uploads/n5_aldrete.pdf;2001
John H. Dirckx;The synthetic genitive in medical eponyms: Is it doomed to extinction?;n5_dirckx.pdf;5;Tribuna;https://www.tremedica.org/wp-content/uploads/n5_dirckx.pdf;2001
José Antonio Díaz Rojo;Nociones de neología. La formación de derivados y compuestos a partir de nombres propios de persona;n5_nocionesneologia.pdf;5;Tribuna;https://www.tremedica.org/wp-content/uploads/n5_nocionesneologia.pdf;2001
José María Álvarez Blanco;Calcos científico-técnicos: entre la precisión y la confusión;n5_calcos.pdf;5;Tribuna;https://www.tremedica.org/wp-content/uploads/n5_calcos.pdf;2001
Luis Pestana;Vericuetos: <em>apoptosome</em> y <em>apoptotic body</em>;n5_entr_apoptosome.pdf;5;Entremeses;https://www.tremedica.org/wp-content/uploads/n5_entr_apoptosome.pdf;2001
Rodolfo Alpízar Castillo;Neurocirujano;n5_neurocirujano.pdf;5;El lápiz de Esculapio;https://www.tremedica.org/wp-content/uploads/n5_neurocirujano.pdf;2001
Valentín García Yebra;Sobre la formación de términos técnicos;n5_editorial.pdf;5;Editorial;https://www.tremedica.org/wp-content/uploads/n5_editorial.pdf;2001
Verónica Saladrigas;<em>Genomic imprinting</em>;n5_genomic.pdf;5;Artículo especial;https://www.tremedica.org/wp-content/uploads/n5_genomic.pdf;2001
Verónica Saladrigas;Glosario fraseológico de <em>genomic imprinting</em>;n5_glosario.pdf;5;Artículo especial;https://www.tremedica.org/wp-content/uploads/n5_glosario.pdf;2001
Verónica Saladrigas;Ciberenlaces: bioquímica y biología molecular;n5_entr_ciberenlaces.pdf;5;Entremeses;https://www.tremedica.org/wp-content/uploads/n5_entr_ciberenlaces.pdf;2001
Xosé Castro Roig;El <em>ciberspanglish</em>, el español comercial y el español neutro, red;n5_ciberspanglish.pdf;5;Tribuna;https://www.tremedica.org/wp-content/uploads/n5_ciberspanglish.pdf;2001
Álvaro García Meseguer;Una crónica inacabada;n6_etr_croninacabada.pdf;6;Entremeses;https://www.tremedica.org/wp-content/uploads/n6_etr_croninacabada.pdf;2001
Antonio Campos;La salud y la palabra;n6_A_Campos.pdf;6;Editorial;https://www.tremedica.org/wp-content/uploads/n6_A_Campos.pdf;2001
Bertha M. Gutiérrez Rodilla;Recursos internéticos relacionados con el lenguaje médico español;n6_BGR_Recursos.pdf;6;Tribuna;https://www.tremedica.org/wp-content/uploads/n6_BGR_Recursos.pdf;2001
Bertha M. Gutiérrez Rodilla;El Plumero;n6_BGR_Plumero.pdf;6;Reseñas;https://www.tremedica.org/wp-content/uploads/n6_BGR_Plumero.pdf;2001
Ernesto Martín-Jacod;De la «hemosisarcosis» a la psicolexicografía. Algunas consideraciones sobre terminología y lexicografía médicas;n6_EMJacod.pdf;6;Tribuna;https://www.tremedica.org/wp-content/uploads/n6_EMJacod.pdf;2001
Fernando A. Navarro;Minidiccionario crítico de dudas;n6_FAN_Minidiccionario.pdf;6;Traducción y terminología;https://www.tremedica.org/wp-content/uploads/n6_FAN_Minidiccionario.pdf;2001
Fernando A. Navarro;Internet en inglés e Internet en español: el mismo collar con distintos perros;n6_FAN_Carta.pdf;6;Cartas a Panace@;https://www.tremedica.org/wp-content/uploads/n6_FAN_Carta.pdf;2001
Fernando A. Navarro;¿Quién lo usó por vez primera? <em>Signo de Babinski</em>;n6_entr_babinski.pdf;6;Entremeses;https://www.tremedica.org/wp-content/uploads/n6_entr_babinski.pdf;2001
Fernando A. Navarro;¿Quién lo usó por vez primera? <em>Apgar</em> (1);n6_entr_apgar.pdf;6;Entremeses;https://www.tremedica.org/wp-content/uploads/n6_entr_apgar.pdf;2001
Fernando A. Navarro;¿Quién lo usó por vez primera? <em>Ligamento de Gimbernat</em>;n6_etr_Gimbernat.pdf;6;Entremeses;https://www.tremedica.org/wp-content/uploads/n6_etr_Gimbernat.pdf;2001
Fernando A. Navarro;¿Quién lo usó por vez primera? <em>Prion</em>;n6_etr_Gimbernat.pdf;6;Entremeses;https://www.tremedica.org/wp-content/uploads/n6_etr_Gimbernat.pdf;2001
Fernando A. Navarro;¿Quién lo usó por vez primera? <em>Interferón</em>;n6_etr_interferon.pdf;6;Entremeses;https://www.tremedica.org/wp-content/uploads/n6_etr_interferon.pdf;2001
